Text;Sentiment
It's McDonald's, right? McDonald's. The burgers might taste like cardboard, but at least it's consistent cardboard. And weirdly, I really do like Mickey D's fries... oh. And the toilets are clean. Oh. And it is open at 3am when you are very drunk and hungry.;2
It's not delcius at all ..!!;2
its ok;1
It's ok but I have to paid for just to get ketchup here. It's kinda weird for me.;2
It's okay. But there should be more options for vegetarians. ;2
It's the only McDonald's in Poltava, and it is really good. Food is tasty, it's done quick and sanitary norms are upheld, the only problem is with seating, it is usually crowded.;2
Junk food;2
Just as usual at McDonald's same taste and quality. Has a good parking;1
Just love it! Good place to have a quick meal.;1
Just McDonalds. Convenient place. :);1
Just regular fast food place: pretty neat and crowded.  But Ukrainian McDonald's are cleaner then European or American. ;2
"Just your standard McDonald's ,with the usual menu along with some occasional new ""items"" .Usually crowded though but the service is swift and great .Perfect for quick snacks ,oh the McCafe's cheesecakes are worth the visit.";2
Like it. Nicely located near cinema, shoping mall and supermarket;1
Like most McDonald's in Ukraine, this one also provides above average service. As usual the food tastes the same, yet somewhat fresher.;1
Like this McDonalds. It is not very big but it has self-service kiosks;1
Like this place. Almost one of the best MacDonalds in Ukraine;1
Lively;1
Located close to the main Train station, usually packed with Passengers. Try seating up-stairs.;1
Located in the heart of city. Oldest MacDonald's point in town. Quick serving. Good menu with many flavors. Does not have MacDrive which is good for serving more in-house guests. Good verighty of desserts in MacFoxy;2
Love it! Just on the motorway to Kiev. 2 minutes detour to feed all the family  on the way to Kiev.;1
Love it! Large area and abailable to relax after your train trip;1
Love this convenient Mac. Unfortunately, there is very small parking lot near.;1
Love this place, burgers and beautiful place outside the restaurant.;1
MaCdonalds being MaCdonalds. WC's not clean enough.;2
Mc donalds is always a safe place to eat and chill. Staff speaks english, and if you are inside you can keep eating for a while even after it closes;2
MC Drive makes the place very popular. Car-queues in the evening time.;2
Mc is Mc;2
Mc is Mc, still is the best chain of fast food restaurant in Ukraine ;1
McDonalds is typical as in any other oblast center in Ukraine;1
McDonald's with quick self-service paydesk;1
McDonald's як McDonald's, але розташування в Миколаєві дуже зручне.;1
McDonald's як McDonald's. Дуже виручає, коли приїжджаєш вночі чи раннього ранку.;1
McDonald's, трохи менш напружений ніж зазвичай. Зручне розташування;2
Medium size McDonalds not far from city center. A bit uncomfortable indoor sitting places,  especially with tables that are unable to move.  But in other word it is a usual McDonalds. A big plus of this place it is not overcrowded as one in a city center. ;2
Modern style.. why not :);1
My favorite since early 2000s ;1
Neither the biggest,nor the smallest Kyiv McDonald's.Once had Coke mixed with water.McDrive works quite well.;2
Nice;2
Nice burgers. ;1
Nice design outside and inside, easy to notice. The service is fast, the music is a bit too loud. All in all, a good example of Kyiv McDonalds;1
Nice location, good as any other MC;2
Nice location. There are some free power sockets, so you can charge your device ;2
Nice place a normal mc donalds;2
Nice place but has bad customer service. Make me pay twice by credit card and not able to refund ;2
Nice place to eat. But always crowd;2
Nice place to go pee) ;1
Nice place to relaxing :-) value for money ;2
Nice place, clean and tasty.;1
Nice place, fresh look, but extremle crowded!  And forger about toilet in this McDonalds, because very long line;2
Nice price. Great servises. For 10$ you can get a lot.;1
Nice, big place, in downtown;2
Nice.;1
No !;2
Noisy, but has a little park near it;2
Not bad place, a bit small. Good staff though!;2
Not enough room. Always long queue.;2
Not really clean and quiet. Crowdy almost ever;2
Not so many people, it's easy to find a place for sitting ;1
Not the best MD in the city if we talk about food quality. MD near Beketova stationis far more better.;2
Not the healthiest place, but at least you know what is on the menu.;2
Not too much place;2
Nothing can be said about McDonald's... it's always good... just one Problem in that one too small for the number of costumers that goes there;2
Obviously no need to say about taste , Near to metro and university , best place to spen some time with friends , this is the mcD for which I came many times ;1
Ok;1
Ok;2
Ok;1
Ok.;2
Old-fashioned design. Great and rapid service.;2
One of few fast food places in area. Small number of tables. ;1
One of the best places to om-nom-nom));1
One of the few places open very early in the morning. Good wifi here for free with no password required.;2
One of the first McDonald's in Kyiv, and in the very center, just by the famous Maidan Nezalezhnosti, definitely not the best one because of too many people almost all the time;2
One of the first McDs in the city. Looks good, often crowded. ;2
One of the first mc's. Love it. Grat place and cheap;1
One of the most overcrowded, but nice.;2
One of trendiest in city, with a separate caf? cashier, diverse sitting options;1
Only fast food in nikolaev.  Packed 24/7;2
Orasul kiev este un oras atragator si oglomerat;2
Ordinary McDonalds. Rather small though ;2
Passion fruit milkshake ??;1
Perfect!;1
Provides a useful service, usually free WiFi, cheap food, space to sit. Toilets very busy;2
Quick service, kind staff, what more could you want? However, always incredibly busy!;2
Quite beautiful as for McDonald's :);2
Quite small, no parking. Drive is mostly has a big queue.;2
Quite small. Has a McDrive.;2
rather large and non-stop, fast service;1
Regular mc donalds;2
Regular mc, nothing special;2
Same quality all over the world!;1
Second McDonalds in Lviv with McDrive;1
Service as usual is at its best. ;1
Service is super good and fast...you can chill out with friends and enjoy the taste at same time here...I'm just lovin' it..;1
Simple McDuck, just too small for demand. ;2
Small cafe.  Nice parsonal. ;2
Small, busy, difficult to park;2
some place;1
Somehow foreign McDonald's are better in every way.  Fresh food, good service, clean building and people. ;1
Son said it was ex-soviet version of McDonald's;2
Spacious building but long queues for toilet ;2
Spacious place with nice central views and fast service. My fav McDonalds in the city. ;1
Spent a lot of money there. tasty. love this mc.;1
Surrounded by a beautiful park;2
Tasteless and expensive. Not an Canadian meat and drinks quality. Not only this particular location overall in Ukraine MacDonalds is sucks;2
Tasty as always ;1
Tasty coffee, not healthy food;1
Tasty fast food, crowded,  but personal work quickly;2
Tasty food and fast. A little bit crowded always;1
Tasty food.;1
The best McDonalds in Kiev for me. Nice view and design;1
The cashier was awesome. She spoke English which really surprised me. I ordered the whole meal in English which I thought was pretty cool. ;1
"The first and so far the only Macdonald in Mykolaiv. It's located in one of the top locations - at Sobornaya str, you have no chance to miss it if have a walk in the center.
Service is good, though it's usually crowded and has only 1 floor. Clean and attractive, with usual Macdonald menu.";1
The great place!;1
the interior of this McDonalds is very beautiful,  I've never seen a McDonalds designed in such a matter.  The restaurant is very large, roomy, clean, large clean bathrooms, and the staff are very friendly.  It's located in the business district of the city so the customer base is more than likely upscale.;1
The one and only McDonald's in Nikolaiv. Always busy but never a bad experience. Great prices.;1
The shop brings the basic US fast food package - I hope you get my point- with some local influences. That is all. Go there, it is a good place.;1
There are a lot of tasty food, but one thing I don't like there - high prices.;1
They are fast and efficient. Staff and Food quality is good for a McDonald's.;1
They have McDrive;1
They use poor tasting chicken.;2
This features a drive in (one of the few in Kharkov) open 24/7 a site for a quick bite no matter the time. Free WiFi for all you snapholics and workaholics. Outside sitting and a lavatory facility is available. ;2
This is a very popular place. It is difficult to find a free table.;2
This is the only Mac in Kremenchuk. It is spacious and clean. Not too crowded usually. Macs in Ukraine has a bit limited menu than western countries (no janopeno etc)and there is no small or large options for meals. Also I don't see diet or zero coke option. Still good place to go when craving chips/fries with familiar type of burger.;2
This McDonalds cafe is very clean with a very nice design. The staff is very friendly and very customer oriented, the only problem is that this McDonalds is located across from the central market, many people come from the market to use the bathrooms and it's not uncommon to see long lines of people waiting to use the bathrooms, this can be a big inconvenience for McDonalds customers.;2
This place is always crowded!!!;2
Those who think mcd food sucks and use it like public WC will be disappointed, because it does not work there;2
Time to renovate it;2
Too little space for seating;2
Unhealthy food, but kids really like it ;2
Useful place with free Wi-Fi;2
Usual fast food. Not bad;1
Usual Mac;1
Usual mcdonalds. Staff was super cheerful and helpful. Location is great by the river, and close to the funicular. I like that little square and the view of it from this mcdonalds.;2
Usual McDonald's. Very crowded at lunchtime. ;2
usually its crowdy and good outdoor seating near to public transport;1
Verry nice!);1
"Very bad customer service. After I bought coffee, stuff refused to add more milk. Said that it is against the rules. As far as I remember this is by far worst location as well as attitude from employees. 
Will never recommend this location.
Spend money elsewhere. ";2
Very busy as far as located in the main square in kiev.;2
Very busy, but handy for cheap fast food! I was there when it opened;2
Very clean and fast service;1
Very clean and organized restaurant with great service. Location is nice, but it's windy outside.;1
Very crowded Mcdonald's, because located in th heart of the city, rather many places to sit, the food is tasty as always;2
Very crowded, everything else is OK;2
Very modern looking 2 story McDonald's. Lines are a bit long but the food comes out very quickly. ;1
Very nice place ;1
Very old and worn out this one. You almost always should struggle to make an order, as it's crowded beyond imagination, and lots of people want simply to sneak past you to be first. Service is very slow.;2
Very small McDonald's, but has kids playground outside. Close to metro station.;2
Very tasty. ;2
Very very busy given the prime location. Mostly very hard to find a spot to sit. Overall Mcdonald's is providing above average service in Ukraine.;2
We went in for late night food. The staff was alright and the food is the same McDonald's you expect from anywhere. ;2
We went there for an early breakfast and there was already a lot of people. Good and clean place. ;2
well located place with good wifi;2
Well this McDonald's is improving all the time. It's a lot better then most European ones. However the fact you have to wait 15min+ during the night drive through (due to huge queues, both on foot and in cars) is the opposite of fast food motto. ;2
Well, it's just another McDonald's restaurant, you've probably been to lots of them. What's special about this one is that it's located on a really cool spot right next to Dnipro river and you can have a really beautiful scenery there.;1
Wifi :(;2
will be good to have mccafe in this place;2
Works late at night, has a beautiful terrace, and a perfect location. ;1
Yet another restaurant of McDonalds Ukraine. Generally much cleaner than in US or Europe, since McDonalds owns all their restaurants in Ukraine.;2
You better not ask for anything special- not welcome here. But the regular menu is good, quick service and a lot of sitting spots.;2
You can order your food on the tablet, so you don't need to wait in the queue. Moreover, they serve it very quickly.;1
You gotta love it! Free Wi-Fi, elegant and clean. Plus this place has an amazing drive-through.;1
you should wait for the most delicious burgers 2-3 minutes but overall everything is cool  and nice. Fast and tasty.;1
Your average McDonald's, but a more pleasant atmosphere than the McDonald's on Soborna Ave.  It has become more popular lately and weekends can be a challenge to find a table (but not impossible).;2
Your average McDonalds.  Personally I prefer the McDonalds on Keletska instead.  However, it ain't bad.;2
Z-best place to have a bite);1
Абсолютно толерантно ставлюся до закладів швидкого харчування, та й до Макдональдсу як такого претензій не маю. Проте чернігівська варіація на дану тематику - це щось середнє між вокзалом, їдальнею і громадською вбиральнею. Не зовсім зрозуміло, чому б не відкрити кілька точок у торговельних центрах міста?  От у Голлівуді, мені здається, це було б дуже доречно.;2
Багато людей, черги. Бургери смачні, але маленькі.;2
Багато людей. Неуважний персонал. Жовго готують, а картку-вибачення за це не дають.;2
Багато місця на вулиці, є місце для дітей (горка). Часто буває, що не співпадають тижні (українські тощо)  з іншими макдональдзами, що трохи дивно, а в іншому все ніби нормально. ;2
Багато народу завжди, люди тупо сидять в ноутах, черги, але Час швидко проходить. Таке. Мак як мак. Частіше за все використовую як безплатний клоузет;2
Багато народу при не дуже великій кількості місць. взимку брудно;2
Багато простору, є столики біля вікна. Але порівняно з закордонними ресторанами тут не так чисто. В туалеті закінчилось мило і туалетний папір.;2
Безкоштовний туалет, у якому чисто, швидке обслуговування, чистота у залі, приміщення світле, працівники доброзичливі, ціни від ~23 грн за бургер до 80грн за біг тейсті чи якось так. Їжа поживна, але жирна, особливо картопля фрі.;1
Був в четвер, заходив на ранкову каву з чікен фреш мак мафіном о 7 ранку. Каву дали відразу, бургер трошки затримали і адміністратор відразу дав картку за очікування на безкоштовний ріжок (чи напій) при наступному замовленні - чесно вперше в Макдональдсі отримую таку приємну компенсацію, в Києві таких карток ніде не давали, тому дякую Льовову!!!;1
Будь-який мак - то щастя;2
В найбільш завантажені дні замовлення видають менше ніж за 2 хв. Радує швидкість обслуговування та чистота.;2
В цьому закладі обважують рідною картопелькою.. Касирша тормознута. Краще пройтися паро метрів і хаванути вареників.;2
В цьому закладі швидкого харчування дійсно можно бистро перекусити;1
Ввічливе обслуговування. Належне ставлення до людей з особливими потребами.;1
Вдале місце розташування біля Дніпра. Швидке обслуговування не зважаючи на кількість відвідувачів, яких тут багато.;2
"Велика черга, у вбиральні трохи брудно. На літньому майданчику незнайомі чоловіки відбирають у жінок іжу і просять гроші на ""опохмел"".  Креветок не було взагалі. ((((((((( Що з Вами McDonald's?";2
Великий за розмірами та гарний мак.  Засмутив тільки порядок у приміщеннях, прибирання не цілодобове ;1
Від інших ресторанів мережі відрізняється тим, що іноді важко знайти місце через велику кількість охочих. Щоб відстояти чергу до туалету потрібно мати залізний сечовий міхур і багато терпіння. Загалом чисто, є тераса з видом на Вокзальну площу.;2
Відносно новий мак. Не дуже людний, так як знаходиться далеко від метро;1
Відняла зірку лише за маленьку кількість місць в залі і довгі черги до каси.;2
Відповідає стандарту.  Хороший персонал та стандартне меню.  Дуже комфортно на 2 поверсі;1
Впевнено і сміло тримають рівень);2
Всiм смачного!;1
Все добре! Як і має бути в мак!;1
"Все по-стандарту! МакДональдз самий звичайний, хоч і атмосфера в ньому якась є. 
Але смішно казати, що в Черкасах він один!!";1
Все смачно і чисто, що дуже важливо для закладів харчування.;1
Все чудово, але постійно великі черги до каси. Коли не прийду, то вічна якась екскурсія для дітей, чоловік 40 і всі, все замовляють, а ти стій чекай. Зробіть як в Києві - термінал самообслуговування для замовлення та оплати, а отримання продуктів через касу.;2
Все чудово. Є McCafe,дитяча GymFun, 4 термінали  кіоску самообслуговування ), зручний McDrive зі своєю парковкою .;1
"Всередині звичайний мак дак, але поблизу є мікро-сквер з лавками і фонтаном де дуже приємно відпочити та прікольний літній майданчик. 
Рекомендую";1
"Вчора відвідали ваш заклад не в перший раз, але мабуть в останній раз.
Касири вперто продовжують мені відповідати російською мовою, хоча і я, і особливо моя дитина, звертаємось українською.
Вони у вас відібрані за таким низьким рівнем, що не здатні вивчити державну мову?";2
Гарне місце щоб перекусити.Швидкий та привітний персонал,великі,проте швидкозникаючі черги.Цілком гарне місце.;2
Гарний wi-Fi, на нижньому поверсі не дуже багато людей і це мені сподобалося.;1
Гарний краєвид з літнього майданчика. Поруч річний порт, фунікулер. Ну і звичайно висока якість Маку ))));1
"Гарний Макдо зовні. Але мені не сподобалось обслуговування. На макдрайві довго не могли прийняти наше замовлення, коли, зрештою, ми під'їхали до ввконця, нас зустріла дівчина з таким виразом обличчя, що їсти перехотілось. Мені не треба шалених посмішок, але елементарні ""добрий день"" і ""до побачення' - так! І майже все було холодним";2
Гарний сучасний мак. Вся площа паршиво виконана, лавочок вважай нема, а мак -єдина історично атракційна споруда після фунікулеру. Шкода що ми не дотягуєм навіть до рівня мака, та нічого не вдієш.;2
Гарно! Їжа дуже шкідлива!;2
"Громадська організація “Cпілка багатодітних родин Деснянського району міста Києва “БЕРЕГИНЯ” висловлює сердечну вдячність керівництву мережі ресторанів МакДональдз -Київ, а саме, пані Олесі, за благодійні обіди організовані 3, 6 та 7 червня для 200 дітей в ресторанах МакДональдз Radosin, Global, Sky Mall, Petrovka, Dream Town, Lіtnye, Detskiy Mir, Prospect приурочені до 1 червня - Міжнародному Дню захисту дітей, за незабутнє Свято! Ці радісні дні залишаться надовго в пам""яті наших дітей!
Бажаємо Вам міцного здоров’я, реалізації задумів та здійснення мрій!";1
Грязно, сир не плавлений, а просто шматками. Замовлення чекали 13 хвилин!!;2
Два раза не положили ребёнку сок в хеппимил, а сегодня не положили игрушку! Это уже вообще ни в какие ворота не лезет!!! А ребёнок обнаружил это дома, когда открыл коробку.;2
Двоповерховий. Великі кімнати, є кімната розважальна для дітей.;1
Дешеві столи, дорога їжа;2
Дітям подобається!!!;1
Для сімей з дітьми заклад безальтернативний:). Все чудово, але дуже часто зал просто переповнений.;1
Добре місце. Все смачно, чисто і привітно.;1
Добрий фастфуд.;1
"Доброго дня! Я часто ходжу в мак, це гарний ресторан швидкого харчування!)
Хотів просто поділитись спостереженням. Я помітив, що на упаковці бігмака на питання ""Чому бігмак такий популярний?"" надається як одна з відповідей, що ""...тому що це відомий сендвіч"". Вважаю, що не можна на питання щодо причин популярності давати відповідь синонімом слова ""популярність"" - ""відомий"". Тобто причина популярно... Показати більше...";2
"Добрый вечер.......мог бы быть, если б мне его не испортили в МакДональдс!

Заказывая колу без льда, я получаю со льдом. Заказывая мороженое в вафельном стаканчике - получаю в пластиковом! Работники не слышат покупателя.";2
Дорого і +це junk food.Я б не радила ходити в такі місця. Але це ваш вибір ;2
Досить часто відвідую цей заклад. Загалом все влаштовує, окрім відсутності місць в години пік. ;1
Достать багато людей у будні дні, місця не вистачає, сервіс нормальний, розміщення також;2
"Дочкино восьмилетие мы праздновали в «Макдональдсе». Она сама так захотела после того, как мы побывали на празднике у ее одноклассника и познакомились с аниматором Максимом, от работы которого еще тогда мы были в восторге.
Знаете, когда я уже во второй раз фотографировала и наблюдала за всем действом, я поняла успех этого энергичного юноши. Он не просто выполняет свою работу, он живет ею. Он не иг...

Показати більше...";1
Дуже багато відвідувачів, завжди черги;2
Дуже багато людей, часто буває не прибрано ;2
"Дуже багато людей, ще не сподобалося що прибиральниця до старшоі жінки кричала ""вали звідси, чого ти тут сидиш годину"" хоча жінка просто дозамовила собі морозиво і сиділа іла. ";2
"Дуже багато людей. Смачно. Але там великі ціни. Рекомендую сходити.
Балів: 
1. Людей 10+ балів.
2. Вибір 9-10 балів.
3. Чистота 8 балів.
Всього: 10 балів.";1
Дуже багато неадекватних школярів, що своїм галасом не дають нормально навіть випити кави;2
Дуже гарне місце. Є McCafe, WIFI, МакДрайв, Дитячий майданчик.;1
Дуже гарно;1
Дуже зручно розташований заклад. Особливо зручний макдрайв. Привітний персонал. Але маленький паркувальний майданчик, не завжди є вільне місце. ;2
"Дуже круто , смачно !  
Завжди великий потік людей  
Важко припаркувати машину ";1
Дуже людно, прохідний двір, але як завжди смачно!;2
"Дуже людно. Мале приміщення, їсти можна стоячи. :) 
На макдрайв рідко немає великої черги.
В обідню коаще не заходить.";2
Дуже мало місця, як на такий район. Постійно людно. Треба б розширитись і дит майданчик, бо більшість приходить сюди з дітьми;2
Дуже повільно працюють;2
Дуже привітні адміністратори. Допомогли заїхати з каляскою. Є місце для догляду за немовлям. У цьому закладі є достатньо швидкий інтернет.;1
Дуже приємний дизайн, розташування таке, що тут завжди людно. Перший мак де побачив електронні екрани замовлення. ;1
"Дуже смачне морозиво ""ріжок"". Якщо хочеться попити кави та потрібен WiFi - це місце саме те що потрібно.";2
"Дуже смачно. Не перзий раз був тут. Нввіть бувало що хв пару днів поспіль. ""Я ЦЕ ЛЮБЛЮ""";1
Дуже смачно. Приємні ціни.;1
Дуже старий за дизайном заклад, та шкода що тільки один;2
Дуже-дуже людно! А так: як і у всіх Маках;2
Дякую касиру Інні!кинула на 2 чіза!замовив і оплатив хепіміл,2 чіза і Шейк з собою.все вручили в руки без упаковки без бургерів...про що думають..?!більше ніногою!хоча Мак люблю!;2
"Є інтерактивні каси з сенсорними екранами, достатньо місця, новий ремонт, але Інтернет просто жахливий, підключитися нереально, постійно потрібно дивитися рекламу (через це кікалька разів не пройшла оплата з ноутбука).
McDonalds будь ласка зробіть щось з інтернетом, реально півтори години намагався підключитися і нічого не відбувалося. Коли підключився, то через 5 хвилин потрібно було знову дивитися рекламу і знову підключення зникало. Зробіть wi-fiяк в інших закладах мережі.";2
Є спеціальна територія для дітей, літня тераса, швидкє обслуговування ;1
Єдиний «МакДональдз» в м. Черкаси, хороше обсдуговування, привітний персонал і, як завжди, смачно, хоч і не зовсім корисно);2
Єдиний мак у місті, звісно подобається, щей мак кафе зробили, взагалі чудово);1
Жахливо довго готували мак роли. В Києві такого не буває. ;2
